Category: All categories

Week,apex legends: (United States),Fortnite: (United States)
2017-07-23,<1,5
2017-07-30,<1,3
2017-08-06,0,1
2017-08-13,0,1
2017-08-20,0,1
2017-08-27,0,1
2017-09-03,<1,<1
2017-09-10,0,1
2017-09-17,<1,1
2017-09-24,<1,3
2017-10-01,0,4
2017-10-08,0,4
2017-10-15,<1,3
2017-10-22,<1,5
2017-10-29,<1,5
2017-11-05,0,3
2017-11-12,<1,4
2017-11-19,0,5
2017-11-26,0,6
2017-12-03,0,9
2017-12-10,0,10
2017-12-17,<1,8
2017-12-24,<1,9
2017-12-31,0,10
2018-01-07,<1,13
2018-01-14,0,26
2018-01-21,<1,27
2018-01-28,<1,28
2018-02-04,<1,27
2018-02-11,<1,31
2018-02-18,<1,38
2018-02-25,0,45
2018-03-04,0,45
2018-03-11,<1,87
2018-03-18,0,73
2018-03-25,0,68
2018-04-01,0,70
2018-04-08,<1,83
2018-04-15,<1,73
2018-04-22,0,65
2018-04-29,<1,81
2018-05-06,<1,72
2018-05-13,<1,76
2018-05-20,<1,59
2018-05-27,0,64
2018-06-03,0,55
2018-06-10,0,76
2018-06-17,<1,58
2018-06-24,0,75
2018-07-01,<1,63
2018-07-08,<1,85
2018-07-15,<1,69
2018-07-22,0,86
2018-07-29,<1,65
2018-08-05,0,72
2018-08-12,0,65
2018-08-19,0,68
2018-08-26,0,64
2018-09-02,<1,61
2018-09-09,0,56
2018-09-16,0,60
2018-09-23,0,85
2018-09-30,<1,61
2018-10-07,0,61
2018-10-14,0,59
2018-10-21,0,57
2018-10-28,0,55
2018-11-04,<1,52
2018-11-11,0,48
2018-11-18,<1,52
2018-11-25,0,52
2018-12-02,<1,74
2018-12-09,<1,59
2018-12-16,0,63
2018-12-23,0,75
2018-12-30,0,61
2019-01-06,<1,51
2019-01-13,<1,55
2019-01-20,0,48
2019-01-27,<1,64
2019-02-03,24,53
2019-02-10,28,57
2019-02-17,16,52
2019-02-24,11,63
2019-03-03,8,47
2019-03-10,8,42
2019-03-17,9,41
2019-03-24,4,38
2019-03-31,4,41
2019-04-07,3,39
2019-04-14,3,40
2019-04-21,2,42
2019-04-28,2,39
2019-05-05,2,50
2019-05-12,2,38
2019-05-19,2,37
2019-05-26,2,35
2019-06-02,2,34
2019-06-09,2,30
2019-06-16,2,32
2019-06-23,2,34
2019-06-30,3,33
2019-07-07,2,33
2019-07-14,2,36
2019-07-21,2,37
2019-07-28,2,54
2019-08-04,2,33
2019-08-11,2,30
2019-08-18,2,25
2019-08-25,1,27
2019-09-01,2,23
2019-09-08,1,22
2019-09-15,1,22
2019-09-22,1,28
2019-09-29,3,24
2019-10-06,2,25
2019-10-13,2,100
2019-10-20,2,31
2019-10-27,1,27
2019-11-03,1,27
2019-11-10,1,24
2019-11-17,1,24
2019-11-24,1,26
2019-12-01,2,22
2019-12-08,1,26
2019-12-15,1,29
2019-12-22,1,34
2019-12-29,1,29
2020-01-05,1,22
2020-01-12,2,23
2020-01-19,2,23
2020-01-26,2,21
2020-02-02,4,21
2020-02-09,2,20
2020-02-16,2,32
2020-02-23,2,24
2020-03-01,2,22
2020-03-08,2,20
2020-03-15,2,27
2020-03-22,2,31
2020-03-29,2,37
2020-04-05,2,36
2020-04-12,2,38
2020-04-19,2,52
2020-04-26,2,42
2020-05-03,2,37
2020-05-10,4,36
2020-05-17,2,38
2020-05-24,2,41
2020-05-31,2,35
2020-06-07,2,34
2020-06-14,2,55
2020-06-21,2,35
2020-06-28,2,36
2020-07-05,2,31
2020-07-12,2,31
2020-07-19,1,33
2020-07-26,1,31
2020-08-02,2,32
2020-08-09,2,34
2020-08-16,3,33
2020-08-23,1,44
2020-08-30,1,31
2020-09-06,1,31
2020-09-13,1,29
2020-09-20,1,29
2020-09-27,1,26
2020-10-04,2,23
2020-10-11,2,23
2020-10-18,2,24
2020-10-25,2,22
2020-11-01,2,19
2020-11-08,2,21
2020-11-15,2,24
2020-11-22,2,25
2020-11-29,1,46
2020-12-06,1,31
2020-12-13,1,31
2020-12-20,1,31
2020-12-27,1,29
2021-01-03,2,24
2021-01-10,1,25
2021-01-17,2,26
2021-01-24,2,24
2021-01-31,3,25
2021-02-07,2,24
2021-02-14,2,24
2021-02-21,2,24
2021-02-28,2,27
2021-03-07,3,24
2021-03-14,2,35
2021-03-21,2,22
2021-03-28,2,24
2021-04-04,2,20
2021-04-11,2,19
2021-04-18,2,18
2021-04-25,3,19
2021-05-02,5,18
2021-05-09,2,18
2021-05-16,2,17
2021-05-23,2,18
2021-05-30,2,20
2021-06-06,2,27
2021-06-13,2,20
2021-06-20,2,22
2021-06-27,2,19
2021-07-04,3,18
2021-07-11,2,18
2021-07-18,2,18
2021-07-25,2,18
2021-08-01,3,22
2021-08-08,3,19
2021-08-15,2,17
2021-08-22,2,16
2021-08-29,2,15
2021-09-05,2,16
2021-09-12,2,24
2021-09-19,2,16
2021-09-26,2,14
2021-10-03,1,13
2021-10-10,1,14
2021-10-17,2,15
2021-10-24,2,16
2021-10-31,2,14
2021-11-07,2,14
2021-11-14,1,17
2021-11-21,1,17
2021-11-28,1,21
2021-12-05,1,37
2021-12-12,1,25
2021-12-19,1,29
2021-12-26,1,36
2022-01-02,1,24
2022-01-09,1,22
2022-01-16,1,25
2022-01-23,2,21
2022-01-30,2,24
2022-02-06,3,20
2022-02-13,2,20
2022-02-20,2,19
2022-02-27,2,16
2022-03-06,2,16
2022-03-13,2,20
2022-03-20,2,36
